brand,sentiment,total_words,words,own_ratio,total_ratio,odds.ratio
Templeton,joy,327,15.0,0.04878048780487805,0.05542922526541431,-0.184342658052662
Templeton,negative,327,13.0,0.042682926829268296,0.06256585673196113,-0.5517164611002957
Templeton,positive,327,38.0,0.11890243902439024,0.13041148269918745,-0.1332925949760737
Templeton,sadness,327,2.0,0.009146341463414634,0.02120217312007962,-1.2129454557450081
Templeton,surprise,327,14.0,0.04573170731707317,0.036466587885671795,0.32661956520724206
Templeton,trust,327,16.0,0.051829268292682924,0.06192397008627474,-0.25673094249412626
The Irishman,anticipation,79,5.0,0.075,0.054584188292094146,0.45840749750786636
The Irishman,disgust,79,2.0,0.0375,0.03530989560699559,0.08681803980390825
The Irishman,fear,79,2.0,0.0375,0.01780227637249029,1.0748288655783749
The Irishman,joy,79,3.0,0.05,0.05542922526541431,-0.1487187483219408
The Irishman,negative,79,2.0,0.0375,0.06256585673196113,-0.7384849727060224
The Irishman,positive,79,10.0,0.1375,0.13041148269918745,0.07636071452969681
The Irishman,sadness,79,1.0,0.025,0.02120217312007962,0.2377159532645572
The Irishman,surprise,79,3.0,0.05,0.036466587885671795,0.4553528793294451
The Irishman,trust,79,3.0,0.05,0.06192397008627474,-0.3085698740137441
The Lakes Distillery,anticipation,127,9.0,0.078125,0.054584188292094146,0.5173011865614349
The Lakes Distillery,disgust,127,3.0,0.03125,0.03530989560699559,-0.17621636602988563
The Lakes Distillery,joy,127,6.0,0.0546875,0.05542922526541431,-0.019435731376974408
The Lakes Distillery,negative,127,5.0,0.046875,0.06256585673196113,-0.41655687781865997
The Lakes Distillery,positive,127,13.0,0.109375,0.13041148269918745,-0.2537878871626342
The Lakes Distillery,sadness,127,1.0,0.015625,0.02120217312007962,-0.4403559518480805
The Lakes Distillery,surprise,127,5.0,0.046875,0.036466587885671795,0.36224347493796355
The Lakes Distillery,trust,127,10.0,0.0859375,0.06192397008627474,0.47278983951091536
The Tweeddale Blend,anger,464,3.0,0.008602150537634409,0.01805587484422074,-1.0696990397385617
The Tweeddale Blend,anticipation,464,25.0,0.05591397849462366,0.054584188292094146,0.03472590381977099
The Tweeddale Blend,disgust,464,10.0,0.023655913978494623,0.03530989560699559,-0.5778716533879821
The Tweeddale Blend,fear,464,3.0,0.008602150537634409,0.01780227637249029,-1.0492924462508126
The Tweeddale Blend,joy,464,28.0,0.06236559139784946,0.05542922526541431,0.17010343569759998
The Tweeddale Blend,negative,464,21.0,0.047311827956989246,0.06256585673196113,-0.4031746658979127
The Tweeddale Blend,positive,464,53.0,0.11612903225806452,0.13041148269918745,-0.16734221305216349
The Tweeddale Blend,sadness,464,12.0,0.02795698924731183,0.02120217312007962,0.39899686029761805
The Tweeddale Blend,surprise,464,16.0,0.03655913978494624,0.036466587885671795,0.0036569094717530293
The Tweeddale Blend,trust,464,31.0,0.06881720430107527,0.06192397008627474,0.15227131487822446
Thomas H. Handy,anger,2405,59.0,0.02493765586034913,0.01805587484422074,0.465857534689274
Thomas H. Handy,anticipation,2405,119.0,0.04987531172069826,0.054584188292094146,-0.13015723989348527
Thomas H. Handy,disgust,2405,86.0,0.03615960099750624,0.03530989560699559,0.034306202642766286
Thomas H. Handy,fear,2405,54.0,0.0228595178719867,0.01780227637249029,0.36073324609316426
Thomas H. Handy,joy,2405,137.0,0.057356608478802994,0.05542922526541431,0.04931287616751404
Thomas H. Handy,negative,2405,148.0,0.06192851205320033,0.06256585673196113,-0.014771785253731124
Thomas H. Handy,positive,2405,366.0,0.15253532834580216,0.13041148269918745,0.22607251644689805
Thomas H. Handy,sadness,2405,56.0,0.02369077306733167,0.02120217312007962,0.16011313514058453
Thomas H. Handy,surprise,2405,84.0,0.035328345802161265,0.036466587885671795,-0.045749016821567325
Thomas H. Handy,trust,2405,143.0,0.059850374064837904,0.06192397008627474,-0.049137704860145966
Three Ships,anger,411,5.0,0.014563106796116505,0.01805587484422074,-0.3101501602052301
Three Ships,anticipation,411,18.0,0.04611650485436893,0.054584188292094146,-0.24319992206556026
Three Ships,disgust,411,16.0,0.0412621359223301,0.03530989560699559,0.2247459480372354
Three Ships,fear,411,1.0,0.0048543689320388345,0.01780227637249029,-1.8747060674386373
Three Ships,joy,411,16.0,0.0412621359223301,0.05542922526541431,-0.4258283393674574
Three Ships,negative,411,30.0,0.07524271844660194,0.06256585673196113,0.26617640466384035
Three Ships,positive,411,48.0,0.11893203883495146,0.13041148269918745,-0.13293349228824847
Three Ships,sadness,411,9.0,0.024271844660194174,0.02120217312007962,0.1950716158560633
Three Ships,surprise,411,15.0,0.038834951456310676,0.036466587885671795,0.0907804470335888
Three Ships,trust,411,18.0,0.04611650485436893,0.06192397008627474,-0.4252147928660147
Tobermory,anger,1535,27.0,0.018229166666666668,0.01805587484422074,0.013780287593280104
Tobermory,anticipation,1535,74.0,0.048828125,0.054584188292094146,-0.16077071855120273
Tobermory,disgust,1535,70.0,0.046223958333333336,0.03530989560699559,0.3885682527536403
Tobermory,fear,1535,20.0,0.013671875,0.01780227637249029,-0.3808506181978148
Tobermory,joy,1535,68.0,0.044921875,0.05542922526541431,-0.3032286973775656
Tobermory,negative,1535,102.0,0.06705729166666667,0.06256585673196113,0.10001864792224598
Tobermory,positive,1535,177.0,0.11588541666666667,0.13041148269918745,-0.1703718789749967
Tobermory,sadness,1535,26.0,0.017578125,0.02120217312007962,-0.2704309504057682
Tobermory,surprise,1535,40.0,0.026692708333333332,0.036466587885671795,-0.45012952188626526
Tobermory,trust,1535,77.0,0.05078125,0.06192397008627474,-0.28620206098528966
Tomatin,anger,4104,62.0,0.015347137637028014,0.01805587484422074,-0.23449871690841875
